question_id,gold_answer,model_answer,is_correct
191,5.0,,False
1,3.0,,False
21,14.0,,False
186,5.0,,False
14,60.0,,False
59,187.0,,False
110,45.0,,False
193,24.0,,False
134,720.0,,False
43,48.0,,False
29,104.0,,False
108,50.0,,False
70,7425.0,,False
63,1596.0,,False
41,200.0,,False
47,800.0,,False
75,60.0,,False
181,160.0,,False
162,92.0,,False
177,350.0,,False
98,5.0,,False
150,4.0,,False
42,26.0,,False
17,57500.0,,False
176,100.0,,False
118,4.0,,False
138,105.0,,False
171,1210.0,,False
168,18.0,,False
36,75.0,,False
146,2125.0,,False
194,10.0,,False
88,8000.0,,False
19,6.0,,False
64,300.0,,False
89,24.0,,False
140,20.0,,False
180,20.0,,False
11,694.0,,False
87,9360.0,,False
131,940.0,,False
23,8.0,,False
84,15.0,,False
165,77.0,,False
72,221.0,,False
130,30.0,,False
135,40.0,,False
24,26.0,,False
15,125.0,,False
192,91.0,,False
189,34.0,,False
56,3.0,,False
90,225.0,,False
105,20.0,,False
149,16.0,,False
122,48.0,,False
124,10.0,,False
145,4000.0,,False
30,109.0,,False
57,83.0,,False
106,72.0,,False
67,595.0,,False
144,20.0,,False
26,243.0,,False
49,30.0,,False
5,64.0,,False
86,22.0,,False
60,17.0,,False
147,75.0,,False
103,140.0,,False
58,57.0,,False
195,12.0,,False
167,16.0,,False
77,100.0,,False
185,30.0,,False
44,20.0,,False
9,460.0,,False
55,14.0,,False
148,30.0,,False
111,16.0,,False
132,60.0,,False
94,348.0,,False
20,15.0,,False
73,255.0,,False
187,106.0,,False
79,70.0,,False
172,51.0,,False
137,29.0,,False
190,360.0,,False
33,70.0,,False
0,18.0,,False
27,16.0,,False
101,6.0,,False
80,10.0,,False
133,13.0,,False
3,540.0,,False
157,80.0,,False
164,15.0,,False
6,260.0,,False
143,16.0,,False
178,122.0,,False
34,23.0,,False
170,150.0,,False
16,230.0,,False
183,2.0,,False
51,5.0,,False
99,58.0,,False
169,120.0,,False
152,4.0,,False
109,28.0,,False
74,88.0,,False
166,5.0,,False
4,20.0,,False
104,500.0,,False
184,25.0,,False
120,240.0,,False
142,140.0,,False
39,18.0,,False
95,40.0,,False
112,24.0,,False
139,70.0,,False
159,15.0,,False
102,26.0,,False
37,2.0,,False
97,12.0,,False
129,10000.0,,False
136,6.0,,False
113,25.0,,False
32,35.0,,False
12,13.0,,False
198,320.0,,False
173,18000.0,,False
85,44.0,,False
71,60.0,,False
125,10.0,,False
156,1400.0,,False
114,6.0,,False
107,3.0,,False
7,160.0,,False
141,400.0,,False
35,9.0,,False
31,80.0,,False
163,50.0,,False
174,95.0,,False
100,175.0,,False
65,36.0,,False
10,366.0,,False
61,1430.0,,False
199,7500.0,,False
46,163.0,,False
116,42.0,,False
179,130.0,,False
160,16.0,,False
52,15.0,,False
121,27.0,,False
78,6.0,,False
123,50.0,,False
117,360.0,,False
127,120.0,,False
96,3.0,,False
81,17.0,,False
91,28.0,,False
128,880.0,,False
40,8.0,,False
28,25.0,,False
50,294.0,,False
197,6277.0,,False
68,36.0,,False
188,50.0,,False
76,5.0,,False
8,45.0,,False
158,34.0,,False
175,15.0,,False
66,48.0,,False
196,120.0,,False
54,40.0,,False
82,623.0,,False
2,70000.0,,False
153,48.0,,False
69,60.0,,False
22,7.0,,False
154,272.0,,False
93,36.0,,False
18,7.0,,False
182,23.0,,False
48,8.0,,False
38,10.0,,False
13,18.0,,False
53,40.0,,False
83,600.0,,False
62,25000.0,,False
151,5.0,,False
115,90.0,,False
119,95200.0,,False
45,104.0,,False
126,82.0,,False
161,32.0,,False
155,280.0,,False
25,2.0,,False
92,4.0,,False
